# File: A321.subsector_logit.csv
# Title: Cement default subsector logit exponents
# Units: Unitless
# Column types: ccic
# ----------
supplysector,subsector,logit.exponent,logit.type
process heat cement,biomass,-6,
process heat cement,coal,-6,
process heat cement,gas,-6,
process heat cement,refined liquids,-6,
process heat cement,hydrogen,-6,
process heat cement ccs,biomass,-6,
process heat cement ccs,coal,-6,
process heat cement ccs,gas,-6,
process heat cement ccs,refined liquids,-6,
process heat cement ccs,hydrogen,-6,
clinker,clinker,-6,
cement,cement,-6,
calcined clay,calcined clay,-6,
flyash,flyash,-6,
GBFSlag,GBFSlag,-6,
gypsum,gypsum,-6,
