# File: refining_mapping.csv
# Title: Mapping from calibrated intermediate sectors and fuels to supplysector / subsector / technology / input in GCAM
# Units: n/a
# Column types: cccccc
# ----------
supplysector_1,subsector_2,stub.technology_1,supplysector,subsector,stub.technology
refining,biorefining 1st gen,biodiesel,Distillate_FuelOil,Distillate_FuelOil,biomassOil
refining,biorefining 2nd gen,Residual_FuelOil,Residual_FuelOil,Residual_FuelOil,biomass
refining,biorefining 1st gen,corn ethanol,Gasoline,Gasoline,corn
refining,biorefining 1st gen,sugar cane ethanol,Gasoline,Gasoline,sugar
refining,biorefining 2nd gen,cellulosic ethanol,Gasoline,Gasoline,biomass
refining,biorefining 2nd gen,Jet_Kerosene,Jet_Kerosene,Jet_Kerosene,biomass
refining,biorefining 2nd gen,LPG,LPG,LPG,biomass
refining,biorefining 2nd gen,Other,Other,Other,biomass
refining,biorefining 2nd gen,biochar,PetCoke,PetCoke,biomass
refining,crude oil refining,high Distillate_FuelOil,Distillate_FuelOil,Distillate_FuelOil,crude oil
refining,crude oil refining,high Residual_FuelOil,Residual_FuelOil,Residual_FuelOil,crude oil
refining,crude oil refining,high Gasoline,Gasoline,Gasoline,crude oil
refining,crude oil refining,high LPG,LPG,LPG,crude oil
refining,crude oil refining,high Jet_Kerosene,Jet_Kerosene,Jet_Kerosene,crude oil
refining,crude oil refining,high PetCoke,PetCoke,PetCoke,crude oil
refining,crude oil refining,high Other,Other,Other,crude oil
refining,ctl,Distillate_FuelOil,Distillate_FuelOil,Distillate_FuelOil,coal
refining,ctl,Residual_FuelOil,Residual_FuelOil,Residual_FuelOil,coal
refining,ctl,Gasoline,Gasoline,Gasoline,coal
refining,ctl,Jet_Kerosene,Jet_Kerosene,Jet_Kerosene,coal
refining,ctl,LPG,LPG,LPG,coal
refining,ctl,Other,Other,Other,coal
refining,ctl,PetCoke,PetCoke,PetCoke,coal
refining,gtl,Distillate_FuelOil,Distillate_FuelOil,Distillate_FuelOil,natural gas
refining,gtl,Residual_FuelOil,Residual_FuelOil,Residual_FuelOil,natural gas
refining,gtl,Gasoline,Gasoline,Gasoline,natural gas
refining,gtl,Jet_Kerosene,Jet_Kerosene,Jet_Kerosene,natural gas
refining,gtl,LPG,LPG,LPG,natural gas
refining,gtl,Other,Other,Other,natural gas
refining,gtl,PetCoke,PetCoke,PetCoke,natural gas
